Year,ID,days.to.hatch,Avg.incu.temp,hdate,hatch_DATE_noYear
2017,2314,18,5.921035735,77,18-Mar
2017,2315,18,6.017781154,73,14-Mar
2017,2316,19,5.790620245,82,23-Mar
2017,2317,17,6.376328634,53,22-Feb
2017,2318,17,6.394265194,52,21-Feb
2017,2319,19,5.587206066,88,29-Mar
2009,232,24,4.508754616,114,24-Apr
2017,2320,18,5.894353778,78,19-Mar
2017,2321,18,5.866598259,79,20-Mar
2017,2322,18,6.081503846,70,11-Mar
2017,2323,20,5.455639593,92,2-Apr
2017,2324,20,5.26534293,97,7-Apr
2017,2325,21,5.139977866,101,11-Apr
2017,2326,19,5.513058079,90,31-Mar
2017,2327,18,5.971304908,75,16-Mar
2017,2328,21,5.041752308,104,14-Apr
2017,2329,20,5.26534293,97,7-Apr
2009,233,24,4.511966707,117,27-Apr
2017,2330,22,4.973658125,107,17-Apr
2017,2331,20,5.379332179,94,4-Apr
2017,2332,20,5.417556218,93,3-Apr
2016,2333,17,6.489919934,79,20-Mar
2016,2334,17,6.491876466,83,24-Mar
2016,2335,16,6.576274438,67,8-Mar
2016,2336,17,6.491876466,83,24-Mar
2016,2337,16,6.533193156,71,12-Mar
2016,2338,16,6.524157959,72,13-Mar
2016,2339,17,6.488450678,81,22-Mar
2009,234,24,4.516130794,104,14-Apr
2016,2340,16,6.502232171,75,16-Mar
2016,2341,16,6.51594375,73,14-Mar
2016,2342,17,6.495445114,84,25-Mar
2016,2343,16,6.515850719,87,28-Mar
2016,2344,16,6.654736865,61,2-Mar
2016,2345,16,6.524854034,88,29-Mar
2016,2346,16,6.49686174,76,17-Mar
2016,2347,16,6.585050396,93,3-Apr
2009,235,24,4.508055325,110,20-Apr
2009,236,24,4.50958641,115,25-Apr
2009,237,24,4.515239185,119,29-Apr
2019,2379,15,6.996260164,86,27-Mar
2009,238,24,4.511966707,117,27-Apr
2019,2380,15,7.032690451,84,25-Mar
2019,2381,15,7.121099427,76,17-Mar
2019,2382,16,6.871048802,92,2-Apr
2019,2383,16,6.686087098,99,9-Apr
2019,2384,15,7.132772007,71,12-Mar
2019,2385,15,7.048833505,83,24-Mar
2019,2386,15,7.131989391,70,11-Mar
2019,2387,15,7.015148436,85,26-Mar
2019,2388,15,7.048833505,83,24-Mar
2019,2389,15,7.086053859,59,28-Feb
2009,239,24,4.510599236,107,17-Apr
2019,2390,15,6.954723821,88,29-Mar
2019,2391,16,6.632749011,101,11-Apr
2019,2392,16,6.895641807,91,1-Apr
2019,2393,15,7.048833505,83,24-Mar
2019,2394,16,6.659284233,100,10-Apr
2019,2395,15,6.996260164,86,27-Mar
2019,2396,15,7.048833505,83,24-Mar
2019,2397,15,6.932249316,89,30-Mar
2019,2398,16,6.895641807,91,1-Apr
2019,2399,15,6.97609197,87,28-Mar
2009,240,23,4.667798477,82,23-Mar
2019,2400,15,6.954723821,88,29-Mar
2019,2401,15,7.129219122,74,15-Mar
2019,2402,15,7.08854633,80,21-Mar
2019,2403,15,7.125789217,75,16-Mar
2019,2404,15,7.121253979,66,7-Mar
2019,2405,15,7.08854633,80,21-Mar
2019,2406,15,7.129219122,74,15-Mar
2019,2407,15,7.08854633,80,21-Mar
2019,2408,16,6.766892934,96,6-Apr
2019,2409,15,7.015148436,85,26-Mar
2009,241,24,4.516130794,104,14-Apr
2009,242,24,4.508175053,113,23-Apr
2009,243,24,4.508754616,114,24-Apr
2009,244,24,4.508055325,110,20-Apr
2009,245,24,4.509435837,108,18-Apr
2009,246,24,4.521648297,102,12-Apr
2009,247,24,4.509435837,108,18-Apr
2009,248,24,4.508175053,113,23-Apr
2009,249,24,4.507814528,111,21-Apr
2009,250,24,4.508055325,110,20-Apr
2009,54,24,4.574927507,92,2-Apr
2009,55,24,4.554108035,95,5-Apr
2009,56,24,4.537541485,98,8-Apr
2009,57,24,4.567507591,93,3-Apr
2009,58,23,4.692432498,80,21-Mar
2009,59,23,4.633775887,85,26-Mar
2009,60,24,4.567507591,93,3-Apr
2009,61,24,4.513933936,105,15-Apr
2009,62,24,4.508175053,113,23-Apr
2009,63,24,4.518697926,103,13-Apr
2009,64,24,4.521648297,102,12-Apr
2009,65,24,4.542602183,97,7-Apr
2009,66,24,4.554108035,95,5-Apr
2009,67,24,4.532928502,99,9-Apr
2009,68,24,4.548121451,96,6-Apr
2009,69,24,4.537541485,98,8-Apr
2009,70,24,4.518697926,103,13-Apr
2009,71,24,4.548121451,96,6-Apr
2009,72,24,4.532928502,99,9-Apr
2009,73,24,4.560568573,94,4-Apr
2009,74,24,4.510599236,107,17-Apr
2007,745,26,4.109319155,84,25-Mar
2007,746,29,3.783045366,103,13-Apr
2007,747,29,3.779511083,104,14-Apr
2007,748,28,3.892823491,93,3-Apr
2007,749,29,3.794431945,101,11-Apr
2009,75,24,4.591209154,90,31-Mar
2007,750,29,3.779511083,104,14-Apr
2007,751,29,3.797516664,114,24-Apr
2007,752,28,3.938039504,91,1-Apr
2007,753,29,3.787984745,102,12-Apr
2007,754,29,3.794431945,101,11-Apr
2007,755,29,3.794431945,101,11-Apr
2007,756,28,3.839404202,96,6-Apr
2007,757,29,3.776203905,106,16-Apr
2007,758,28,3.813240295,98,8-Apr
2007,759,28,3.834477377,120,30-Apr
2009,76,24,4.574927507,92,2-Apr
2007,760,29,3.797516664,114,24-Apr
2007,761,29,3.776203905,106,16-Apr
2007,762,29,3.778956385,109,19-Apr
