Date,TridentTemp,Month,Year
8/3/2015,11.36208333,8,2015
8/4/2015,11.36,8,2015
8/5/2015,11.24791667,8,2015
8/6/2015,11.2325,8,2015
8/7/2015,11.23708333,8,2015
8/8/2015,11.45083333,8,2015
8/9/2015,11.50791667,8,2015
8/10/2015,11.65125,8,2015
8/11/2015,11.84708333,8,2015
8/12/2015,12,8,2015
8/13/2015,12.14416667,8,2015
8/14/2015,12.24625,8,2015
8/15/2015,12.275,8,2015
8/16/2015,12.15041667,8,2015
8/17/2015,12.06,8,2015
8/18/2015,12.15666667,8,2015
8/19/2015,12.18166667,8,2015
8/20/2015,12.22458333,8,2015
8/21/2015,12.29166667,8,2015
8/22/2015,12.48041667,8,2015
8/23/2015,12.40916667,8,2015
8/24/2015,12.43708333,8,2015
8/25/2015,12.62208333,8,2015
8/26/2015,12.72958333,8,2015
8/27/2015,12.78375,8,2015
8/28/2015,12.37958333,8,2015
8/29/2015,12.2525,8,2015
8/30/2015,12.04875,8,2015
8/31/2015,11.89083333,8,2015
9/1/2015,11.8125,9,2015
9/2/2015,11.82125,9,2015
9/3/2015,11.92791667,9,2015
9/4/2015,11.99125,9,2015
9/5/2015,11.97708333,9,2015
9/6/2015,11.96958333,9,2015
9/7/2015,11.93916667,9,2015
9/8/2015,12.01291667,9,2015
9/9/2015,12.005,9,2015
9/10/2015,11.95375,9,2015
9/11/2015,11.87125,9,2015
9/12/2015,11.72208333,9,2015
9/13/2015,11.50708333,9,2015
9/14/2015,11.4025,9,2015
9/15/2015,11.38208333,9,2015
9/16/2015,11.29666667,9,2015
9/17/2015,11.22041667,9,2015
9/18/2015,11.0425,9,2015
9/19/2015,10.915,9,2015
9/20/2015,10.7775,9,2015
9/21/2015,10.7775,9,2015
9/22/2015,10.6125,9,2015
9/23/2015,10.46208333,9,2015
9/24/2015,10.36041667,9,2015
9/25/2015,10.34708333,9,2015
9/26/2015,10.40291667,9,2015
9/27/2015,10.44583333,9,2015
9/28/2015,10.44458333,9,2015
9/29/2015,10.31708333,9,2015
9/30/2015,9.9225,9,2015
10/1/2015,9.739583333,10,2015
10/2/2015,9.715416667,10,2015
10/3/2015,9.696666667,10,2015
10/4/2015,9.739583333,10,2015
10/5/2015,9.80875,10,2015
10/6/2015,9.839583333,10,2015
10/7/2015,9.88,10,2015
10/8/2015,9.898333333,10,2015
10/9/2015,9.903333333,10,2015
10/10/2015,9.905416667,10,2015
10/11/2015,9.91,10,2015
10/12/2015,9.84375,10,2015
10/13/2015,9.732916667,10,2015
10/14/2015,9.656666667,10,2015
10/15/2015,9.568333333,10,2015
10/16/2015,9.407083333,10,2015
